#ΛΕΞΗ	ΛΗΜΜΑ	Μ.τ.Λ.	ΧΑΡΑΚΤΗΡΙΣΜΟΙ
δική			
κολύμπι	κολύμπι	ουσιαστικό	, ενικός, κλητική
			, ενικός, ονομαστική
			, ενικός, αιτιατική
γυρίζει	γυρίζω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
πηγαίνει			
γαντζώνομαι	γαντζώνω	ρήμα	παθητική, ενεστώτας, οριστική, ενικός, 1ο πρόσωπο
έτσι	έτσι	επίρρημα	 τροπικό
ηρθες			
περσικών	περσικός	επίθετο	θηλυκό, πληθυντικός, γενική
			αρσενικό, πληθυντικός, γενική
			ουδέτερο, πληθυντικός, γενική
καταπίνει			
ρχεται			
δεμάτια	δεμάτι	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
τύχαινε			
νίκος			
νίκου			
κροτάλισε	κροταλίζω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
στοχασμών	στοχασμός	ουσιαστικό	αρσενικό, πληθυντικός, γενική
εξηγεί	εξηγώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
βασιλεύει	βασιλεύω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
νερόμυλος	νερόμυλος	ουσιαστικό	αρσενικό, ενικός, ονομαστική
γιάρδες	γιάρδα	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
έδεσε	δένω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
άλλες			
σκούρα	σκούρος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			θηλυκό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
	σκούρος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
φοβηθήκατε	φοβούμαι	ρήμα	παθητική, αόριστος, οριστική, πληθυντικός, 2ο πρόσωπο
γέρο	γέρος	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
απείραχτη	απείραχτος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
βλαστός	βλαστός	ουσιαστικό	αρσενικό, ενικός, ονομαστική
βωμολοχιών	βωμολοχία	ουσιαστικό	θηλυκό, πληθυντικός, γενική
σκούρο	σκούρος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
	σκούρος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
απείραχτο	απείραχτος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
βασιλιάδες	βασιλιάς	ουσιαστικό	αρσενικό, πληθυντικός, αιτιατική
			αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
εποχής	εποχή	ουσιαστικό	θηλυκό, ενικός, γενική
φουρναραίους			
συγκρατήσει	συγκρατώ	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, απαρέμφατο, , 
μακριά	μακρός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
	μακρύς	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			θηλυκό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
προσωπική	προσωπικός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
σταθμούς	σταθμός	ουσιαστικό	αρσενικό, πληθυντικός, αιτιατική
αιώνες	αιώνας	ουσιαστικό	αρσενικό, πληθυντικός, αιτιατική
			αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
μαλλάκια			
δίνη	δίνη	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ορισμένα	ορισμένος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
πότε	πότε	επίρρημα	
απεναντίας	απεναντίας	επίρρημα	
ανθοφορία	ανθοφορία	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ξακουσμένου	ξακουσμένος	επίθετο	ουδέτερο, ενικός, γενική
			αρσενικό, ενικός, γενική
πόσο	πόσο	επίρρημα	
κοιτάω	κοιτώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 1ο πρόσωπο
ογδόντα	ογδόντα	επίθετο	άκλιτο
σκυλίσιο	σκυλίσιος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
εσχόλασαν			
καταπληκτική	καταπληκτικός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
βάραγαν			
βρέθηκε			
δάρτη			
αμέτρητες	αμέτρητος	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
πόσα			
θαλασσινό	θαλασσινός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
χειρογράφων			
κεντρικό	κεντρικός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
πήραν			
αδειανή	αδειανός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
εβραίων	εβραίος	ουσιαστικό	αρσενικό, πληθυντικός, γενική
αφήνοντας			
προστατεύει	προστατεύω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
	προστατεύω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
χωματένιο	χωματένιος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
αφήνονταν			
εικόνες	εικόνα	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
δύση	δύση	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
παρανόηση	παρανόηση	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ποδιού	πόδι	ουσιαστικό	ουδέτερο, ενικός, γενική
ψάρια	ψάρι	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
ριπές	ριπή	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
εντυπώσεις	εντύπωση	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
	εντυπώνω	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 2ο πρόσωπο
υιοθετήσουμε	υιοθετώ	ρήμα	ενεργητική, αόριστος, υποτακτική, πληθυντικός, 1ο πρόσωπο
			ενεργητική, αόριστος, υποτακτική, πληθυντικός, 1ο πρόσωπο
αναμενόμενα			
εγκατέλειπαν			
λίμνη	λίμνη	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ακουμπισμένο			
βιάσου	βιάζω	ρήμα	παθητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
	βιάζομαι	ρήμα	παθητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
βρέχεται	βρέχω	ρήμα	παθητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
περίπτωση	περίπτωση	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
βγήκα			
φύλλα	φύλλο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
ξεφωνίζει	ξεφωνίζω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
ζαρκαδάκι			
άκρη	άκρη	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ωστόσο			
βγήκε			
εγκαταλελειμένο			
πάντα	πάντα	ουσιαστικό	άκλιτο
	πάντες	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
	πάντα	επίρρημα	
	πάντα	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
φιλοσόφου	φιλόσοφος	ουσιαστικό	αρσενικό, ενικός, γενική
			αρσενικό, ενικός, γενική
	φιλόσοφος	ουσιαστικό	θηλυκό, ενικός, γενική
πάση			
φύλλο	φύλλο	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
ανοίγει	ανοίγω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
grand			
σταυρού	σταυρός	ουσιαστικό	αρσενικό, ενικός, γενική
σκέφτηκαν			
αρχίζει	αρχίζω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
ευαίσθητα	ευαίσθητος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
χάσουν			
ξανάδεσαν			
απλωνόταν	απλώνω	ρήμα	παθητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
ψωμιά	ψωμί	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
καταχθόνια	καταχθόνιος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			θηλυκό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
πέτυχε			
οποίες			
μαρτύρια	μαρτύριο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
τραπεζάκια			
ξαφνικά	ξαφνικός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
άκρα	άκρος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			θηλυκό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
	άκρο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
άσπλαχνα	άσπλαχνος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
αιώνας	αιώνας	ουσιαστικό	αρσενικό, ενικός, ονομαστική
προσέγγιση	προσέγγιση	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
εκείνους			
ηρεμία	ηρεμία	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
παραμένει			
κατέγραψε			
ζεσταίνεται	ζεσταίνω	ρήμα	παθητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
θαρραλέα	θαρραλέος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			θηλυκό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
πληγώνομαι	πληγώνω	ρήμα	παθητική, ενεστώτας, οριστική, ενικός, 1ο πρόσωπο
φας			
ίχνη	ίχνος	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
πάρε			
δολοφόνες			
έτρωγε			
απίθανες	απίθανος	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
αποδώ	αποδώ	επίρρημα	
μαμά	μαμά	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
φαΐ			
θέσης	θέση	ουσιαστικό	θηλυκό, ενικός, γενική
σούρουπο	σούρουπο	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
φορεσιάς	φορεσιά	ουσιαστικό	θηλυκό, ενικός, γενική
άκρες	άκρος	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
	άκρη	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
εφηβική	εφηβικός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
ηλιοκαμένα	ηλιοκαμένος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
πάσα	πάσο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
	πάσα	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ομπρέλες	ομπρέλα	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
όχθη	όχθη	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
αξία	αξία	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
βουνού	βουνό	ουσιαστικό	ουδέτερο, ενικός, γενική
λευκούς	λευκός	επίθετο	αρσενικό, πληθυντικός, αιτιατική
ανασηκώνοντας	ανασηκώνω	ρήμα	ενεργητική, ενεστώτας, μετοχή, , 
σταθεί			
φτιαγμένη	φτιάχνω	μετοχή	 παθητική, παρακείμενος, θηλυκό, ενικός, ονομαστική, αιτιατική, κλητική
πίστεψέ	πιστεύω	ρήμα	ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
μαγευτική	μαγευτικός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
εξώστες	εξώστης	ουσιαστικό	αρσενικό, πληθυντικός, αιτιατική
			αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
σφυρηλάτησε	σφυρηλατώ	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
διάκος	διάκος	ουσιαστικό	αρσενικό, ενικός, ονομαστική
οδύσσεια	οδύσσεια	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
time			
πάσες	πάσα	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
αλίκη			
αγγέλων	άγγελος	ουσιαστικό	αρσενικό, πληθυντικός, γενική
τρόμος	τρόμος	ουσιαστικό	αρσενικό, ενικός, ονομαστική
συγκαλύπτουν	συγκαλύπτω	ρήμα	ενεργητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
γλώσσας	γλώσσα	ουσιαστικό	θηλυκό, ενικός, γενική
αξιαγάπητος	αξιαγάπητος	επίθετο	αρσενικό, ενικός, ονομαστική
αντίπαλο	αντίπαλος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
διάταξη	διάταξη	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
φώτιση	φώτιση	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
φράξος	φράξος	ουσιαστικό	αρσενικό, ενικός, ονομαστική
μονάχος			
κότα	κότα	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
	κοτάω	ρήμα	ενεργητική, ενεστώτας, προστακτική, ενικός, 2ο πρόσωπο
ενώ	ενώ	σύνδεσμος	
λαϊκών	λαϊκός	επίθετο	θηλυκό, πληθυντικός, γενική
			αρσενικό, πληθυντικός, γενική
			ουδέτερο, πληθυντικός, γενική
αντίπαλη	αντίπαλος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
χατζηαβάτη			
γδύνεται	γδύνω	ρήμα	παθητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
μουσούδα	μουσούδα	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
πολλοί	πολύς	 επίθετο	 αρσενικό, θετικός, πληθυντικός, ονομαστική, κλητική
φαιάκους			
κυνηγόσκυλο	κυνηγόσκυλο	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
αφήσετε			
ποδοσφαιρικό	ποδοσφαιρικός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
ισπεπονία			
νίκη	νίκη	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ψάχνω			
σκαθάρι	σκαθάρι	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
κάνεις			
άμα	άμα	σύνδεσμος	
εμπνέουν			
ντόπιους	ντόπιος	επίθετο	αρσενικό, πληθυντικός, αιτιατική
τελικά	τελικός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
λέτε			
γερμανοί			
πλευρών	πλευρό	ουσιαστικό	ουδέτερο, πληθυντικός, γενική
	πλευρά	ουσιαστικό	θηλυκό, πληθυντικός, γενική
ξέρει	ξέρω	 ρήμα	 ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
κρατιόταν	κρατώ	ρήμα	παθητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
απότομα	απότομος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
καταφέρνω			
χοροπηδάει	χοροπηδώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
υπόλοιπη	υπόλοιπος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
σύρει			
κεφαλονίτικη			
πώς	πώς	 επίρρημα	 τροπικό
σεργιάνισε	σεργιανίζω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
έψαξε			
τρίβει	τρίβω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
τράβηξε	τραβώ	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
πήγαιναν			
διαιτητή	διαιτητής	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
διάσταση	διάσταση	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
βροντάει	βροντώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
διηγούνται	διηγούμαι	ρήμα	παθητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
αστεράκια			
παράξενος	παράξενος	επίθετο	αρσενικό, ενικός, ονομαστική
’χετε			
γελούν	γελώ	ρήμα	ενεργητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
ειδοποίησαν	ειδοποιώ	ρήμα	ενεργητική, αόριστος, οριστική, πληθυντικός, 3ο πρόσωπο
γύρισε	γυρίζω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
έπαιζα	παίζω	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 1ο πρόσωπο
δαμασκού			
έπαιζε	παίζω	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
όλες	όλος	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
λογής			
αρχοντικά	αρχοντικός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
παναγιά	παναγιά	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
άσε	άσος	ουσιαστικό	αρσενικό, ενικός, κλητική
φωτεινά	φωτεινός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
διαφορετικό	διαφορετικός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
άρη	άρης	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
άγιος	άγιος	επίθετο	αρσενικό, ενικός, ονομαστική
συλλογή	συλλογή	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
μεγαλύτερα			
υπάκουα	υπάκουος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
δοκιμάσει	δοκιμάζω	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, απαρέμφατο, , 
πάρει			
προορισμένη			
δωσαν			
έτρεξε	τρέχω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
φτέρες	φτέρη	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
ίσια	ίσιος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			θηλυκό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
πλατιά	πλατύς	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			θηλυκό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
καταρρέει			
λέγανε			
μεγαλύτερη			
εχθρού	εχθρός	ουσιαστικό	αρσενικό, ενικός, γενική
αποδεχτώ	αποδέχομαι	ρήμα	παθητική, αόριστος, υποτακτική, ενικός, 1ο πρόσωπο
χάρη	χάρη	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
όρθιος	όρθιος	επίθετο	αρσενικό, ενικός, ονομαστική
εσχάτη			
άγιοι	άγιος	επίθετο	αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
αλκίνου			
φώναξε	φωνάζω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
προλαβαίνει			
πόνεσε	πονάω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
σύρθηκε			
ρυάκι	ρυάκι	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
πραγματικής	πραγματικός	επίθετο	θηλυκό, ενικός, γενική
πλουσίου			
άπω	άπω	επίρρημα	
απλός	απλός	επίθετο	αρσενικό, ενικός, ονομαστική
κουκλίτσα			
τρεμόσβηναν			
αναποδογυρίστηκε	αναποδογυρίζω	ρήμα	παθητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
εσύ			
